id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8166,LA LATINA/ SOL I **Peaceful Elegant Apartment**,28786243,Emilio,Centro,Embajadores,40.40999,-3.70744,Entire home/apt,95,1,37,9/1/2019,1.51,58,88
8167,La Paz Market 4 A Madrid Salamanca quarter,2509252,Montaber,Salamanca,Recoletos,40.42774,-3.68486,Entire home/apt,65,1,41,7/22/2019,1.7,8,336
8168,Las Salesas Square Chueca,2509252,Montaber,Centro,Justicia,40.42412,-3.69391,Entire home/apt,65,1,53,8/21/2019,2.31,8,328
8169,PENHOUSE WITH TERRACE IN CITY CENTER,3939801,Juan,Centro,Embajadores,40.40875,-3.70409,Entire home/apt,69,2,128,9/8/2019,5.28,9,137
8170,Gran Va-Centro Room in Madrid,106378798,Mara Jess,Centro,Universidad,40.42165,-3.70469,Private room,55,1,64,9/15/2019,2.69,1,0
8171,Absolut City Cent: 6pax-2room-6 bed-Wifi- IFEMA,53260053,Angela,Centro,Universidad,40.42216,-3.70741,Entire home/apt,83,2,95,9/17/2019,3.89,1,80
8172,Habitacin Privada/ Arganzuela,150128214,Maria Jose,Arganzuela,Chopera,40.3935,-3.69653,Private room,20,1,150,9/1/2019,6.11,1,310
8173,UNIQUE 3 BDRS APARTMENT PUERTA DEL SOL-GRAN VA,26205011,Roberto,Centro,Sol,40.41958,-3.70131,Entire home/apt,190,3,1,9/11/2019,1,11,86
8174,Muy acogedor y bien ubicado para visitar Madrid,137234048,Juan Carlos,Tetun,Cuatro Caminos,40.45123,-3.69927,Entire home/apt,65,2,98,7/27/2019,4.02,3,3
8175,DOBO ROOMS PLAZA MAYOR EXCLUSIVE,133056146,Dobo Rooms,Centro,Sol,40.41616,-3.7058,Entire home/apt,113,1,10,5/9/2019,0.63,28,63
8176,HAB. GRANDE. 2 CAMAS  KINGSIZE. SILENCIOSA.CENTRO,99373514,Lola,Centro,Embajadores,40.41035,-3.70258,Private room,35,1,101,7/29/2019,4.13,4,336
8177,"beautiful private room, very central",23523746,Caro,Centro,Embajadores,40.40911,-3.70125,Private room,33,3,86,1/4/2019,3.53,1,0
8178,Malasaa&Chueca rooftop new studio with AC,2507824,Lorenzo,Centro,Justicia,40.42546,-3.69922,Entire home/apt,60,20,37,9/4/2019,1.55,1,259
8179,autntico CENTRO. authentic center,150237695,Cristina,Centro,Embajadores,40.41233,-3.70399,Private room,19,2,94,9/16/2019,3.89,1,36
8180,Habitacin cerca de Plaza de Toros de las Ventas,107264899,Miguel,Ciudad Lineal,Concepcin,40.43425,-3.65863,Private room,35,1,0,,,1,0
8181,Nice 2 bedrooms apartment in Madrid,11636925,Miguel Angel,Tetun,Berruguete,40.45989,-3.70615,Entire home/apt,48,6,7,3/14/2019,0.44,1,0
8182,Lollipop Flats: Count's secret lair in Plaza Mayor,26435996,Lollipop Flats,Centro,Sol,40.41561,-3.70814,Entire home/apt,33,1,23,8/16/2019,3.3,13,51
8183,MadVille II,102947901,Claudia,Centro,Embajadores,40.41121,-3.70536,Entire home/apt,100,1,21,7/25/2019,1.13,231,312
8184,Center City Sol Plaza Mayor La Latina Triangle,9457410,Maria,Centro,Embajadores,40.41102,-3.70805,Entire home/apt,55,1,190,9/15/2019,7.94,1,6
8185,Habitacin a estrenar en la mejor zona de Madrid,75744,Mara,Centro,Universidad,40.42456,-3.7027,Private room,40,3,4,7/6/2018,0.17,1,353
8186,Rent just for champion,27172141,Dante,Centro,Embajadores,40.40725,-3.70118,Entire home/apt,450,1,0,,,1,365
8187,ATOCHA. MUSEUMS AREA. Bright and Big,7145793,Miguel Angel,Arganzuela,Palos de Moguer,40.40543,-3.69298,Entire home/apt,70,2,54,9/6/2019,2.23,13,61
8188,Habitacin privada.,70525839,Rafa,Puente de Vallecas,Numancia,40.39471,-3.6616,Private room,38,3,31,7/8/2019,1.28,2,352
8189,Stylish & Bright 1BD - Chueca-Gran Via City Centre,150436108,Amaya,Centro,Justicia,40.42151,-3.69808,Entire home/apt,95,2,58,9/15/2019,2.39,1,136
8190,CONFORTABLE Y ACOGEDORA! EN LAS PUERTAS DE MADRID!,150473901,Lynda,Barajas,Alameda de Osuna,40.4582,-3.58986,Private room,53,1,4,9/15/2019,1.79,1,91
8191,Acogedor apartamento en Malasaa,150474338,Miriam,Centro,Universidad,40.42535,-3.70233,Entire home/apt,52,3,22,4/15/2019,0.9,1,0
8192,Spectacular exterior 2 bed apartment in Serrano I,32046323,Juan,Salamanca,Recoletos,40.42522,-3.68692,Entire home/apt,336,30,0,,,83,64
8193,CASA RIOS ROSAS,40604479,Alberto,Chamber,Rios Rosas,40.4414,-3.69572,Entire home/apt,45,1,9,5/3/2018,0.37,2,0
8194,NoMad La Latina VI,102947901,Claudia,Centro,Embajadores,40.40873,-3.71027,Entire home/apt,95,1,10,8/6/2019,0.5,231,338
8195,Spectacular Apartment Center of Madrid La Latina,19628784,Oscar,Centro,Palacio,40.41246,-3.71487,Private room,45,2,18,6/16/2019,0.74,2,319
